Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
1,13614695,OPENJPA-2936,Fixed,"4.0.1;4.1.0","4.1.1"
2,13605430,OPENJPA-2933,Fixed,"4.0.1","4.1.0"
3,13605078,OPENJPA-2932,Fixed,"4.0.1","4.1.0"
4,13602968,OPENJPA-2930,Fixed,"4.0.1","4.1.0"
5,13593524,OPENJPA-2928,Fixed,"4.0.1","4.1.0"
6,13590180,OPENJPA-2925,Fixed,"3.2.2;4.0.0","4.1.1"
7,13585390,OPENJPA-2923,Fixed,"4.0.0","4.0.1"
8,13580595,OPENJPA-2921,Fixed,"4.0.0","4.0.1"
9,13560226,OPENJPA-2918,Fixed,"",""
10,13551137,OPENJPA-2915,Fixed,"3.2.2","3.2.3;4.0.0"
11,13533336,OPENJPA-2907,Fixed,"3.2.2",""
12,13427435,OPENJPA-2898,Fixed,"3.2.1;3.2.2","4.1.0"
13,13418216,OPENJPA-2896,Fixed,"","3.2.1"
14,13414503,OPENJPA-2891,Fixed,"3.2.0","3.2.1"
15,13413196,OPENJPA-2889,Fixed,"3.2.0","3.2.1"
16,13407779,OPENJPA-2883,Fixed,"3.2.0","3.2.1"
17,13406236,OPENJPA-2882,Fixed,"2.2.3","3.2.1"
18,13389149,OPENJPA-2877,Fixed,"","3.2.1"
19,13383264,OPENJPA-2876,Fixed,"3.0.0","3.2.1"
20,13377427,OPENJPA-2871,Fixed,"3.2.0","3.2.0"
21,13370796,OPENJPA-2866,Fixed,"3.1.2","3.2.0"
22,13370640,OPENJPA-2865,Fixed,"3.1.2","3.2.0"
23,13370381,OPENJPA-2864,Fixed,"3.1.2","3.2.0"
24,13370336,OPENJPA-2863,Fixed,"3.1.2","3.2.0"
25,13369867,OPENJPA-2862,Fixed,"3.1.2","3.2.0"
26,13369821,OPENJPA-2861,Fixed,"3.1.2","3.2.0"
27,13369612,OPENJPA-2860,Fixed,"3.1.2","3.2.0"
28,13369478,OPENJPA-2859,Fixed,"3.1.2","3.2.0"
29,13369444,OPENJPA-2858,Fixed,"3.1.2","3.2.0"
30,13369411,OPENJPA-2857,Fixed,"3.1.2","3.2.0"
31,13369393,OPENJPA-2856,Fixed,"3.1.2","3.2.0"
32,13369194,OPENJPA-2855,Fixed,"3.2.0","3.2.0"
33,13369137,OPENJPA-2854,Fixed,"3.1.2","3.2.0"
34,13368675,OPENJPA-2851,Fixed,"3.1.2","3.2.0"
35,13368546,OPENJPA-2850,Fixed,"3.1.2","3.2.0"
36,13368188,OPENJPA-2849,Fixed,"3.1.2","3.2.0"
37,13362330,OPENJPA-2848,Fixed,"3.1.2",""
38,13347111,OPENJPA-2846,Fixed,"3.1.2","3.2.0"
39,13343524,OPENJPA-2843,Fixed,"3.1.2","3.2.0"
40,13343379,OPENJPA-2842,Fixed,"3.1.2","3.2.0"
41,13330140,OPENJPA-2834,Fixed,"3.1.1","3.2.0"
42,13329774,OPENJPA-2832,Fixed,"","3.2.0"
43,13327700,OPENJPA-2830,Fixed,"","3.2.0"
44,13327695,OPENJPA-2829,Fixed,"","3.2.0"
45,13327639,OPENJPA-2828,Fixed,"3.1.2","3.2.0"
46,13326284,OPENJPA-2827,Fixed,"",""
47,13318915,OPENJPA-2821,Fixed,"3.1.2","3.2.0"
